Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CHEECA_80W_25N,24.898,-80.618,12/8/11,21:17,391.2,2,6.7,399.7,2,6.14,1017.3,23.3,98.94,-999,-999,393.9,402.2,-999,-999,-999,-999,-999,-999,8.068,2,-999,5,-999,5,233.51,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,0:17,390.7,2,6.62,401.7,2,6.11,1018.7,23.3,99.59,23.097,35.684,393.3,404.2,383.4,394,-10.5,384.7,395.3,-10.6,8.064,2,-999,5,-999,5,221.91,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,3:17,397.7,2,6.57,403.2,2,6.17,1019.2,22.8,100.15,22.908,35.634,400.4,405.7,390.6,395.8,-5.2,391.9,397.1,-5.2,8.068,2,-999,5,-999,5,225.86,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,6:17,433.7,2,6.68,394.9,2,6.42,1017.3,22.6,100.16,22.309,35.458,436.6,397.4,425.6,387.4,38.2,427,388.7,38.3,8.042,2,-999,5,-999,5,220.64,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,9:17,417.5,2,6.86,393.3,2,6.57,1016.4,22.9,99.73,22.691,35.59,420.4,396,409.2,385.3,23.8,410.5,386.6,23.9,8.044,2,-999,5,-999,5,212.95,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,12:17,370.2,2,7.01,391.9,2,6.71,1017.4,23.4,99.45,23.317,35.922,372.8,394.6,362.9,384,-21.1,364,385.3,-21.2,8.079,2,-999,5,-999,5,209.4,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,15:17,374.8,2,7.16,388.6,2,6.82,1018.7,24.1,99.35,23.363,35.917,377.6,391.3,367.9,381.3,-13.4,369.1,382.5,-13.4,8.077,2,-999,5,-999,5,210.87,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,18:17,371.1,2,7.54,390,2,7.29,1017.2,25.5,99.56,23.645,35.937,373.9,392.9,363.6,382.1,-18.5,364.8,383.3,-18.5,8.085,2,-999,5,-999,5,215.12,2
CHEECA_80W_25N,24.898,-80.618,12/9/11,21:17,369.8,2,7.82,388.8,2,7.53,1016.5,26.4,99.88,23.747,35.926,372.7,391.7,362.1,380.6,-18.4,363.3,381.8,-18.5,8.083,2,-999,5,-999,5,219.72,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,0:17,352.8,2,7.84,389.1,2,7.45,1017.6,26.5,100.13,24.002,35.973,355.6,392,345.8,381.2,-35.4,346.9,382.4,-35.5,8.098,2,-999,5,-999,5,219.4,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,3:17,354.9,2,7.83,388.4,2,7.46,1018.5,26.1,100.01,24.043,35.976,357.7,391.3,348,380.8,-32.7,349.2,382,-32.8,8.096,2,-999,5,-999,5,213.63,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,6:17,363.2,2,7.85,388.5,2,7.5,1017.7,25.7,99.62,24.005,35.973,366,391.5,355.9,380.6,-24.7,357.1,381.9,-24.8,8.084,2,-999,5,-999,5,208.15,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,9:17,374.1,2,7.77,388.3,2,7.34,1016.5,25.5,99.01,23.961,35.971,377,391.2,366.2,380,-13.8,367.3,381.2,-13.8,8.077,2,-999,5,-999,5,202.35,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,12:17,406,2,7.64,387.8,2,7.17,1017.3,25.3,98.56,23.491,35.876,409.1,390.6,398,380,18,399.3,381.3,18.1,8.049,2,-999,5,-999,5,201.99,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,15:17,413.5,2,7.7,387.4,2,7.18,1018.7,25.3,98.56,23.216,35.78,416.7,390.2,406.1,380.3,25.8,407.5,381.6,25.9,8.041,2,-999,5,-999,5,208.76,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,18:17,404.5,2,7.91,388.2,2,7.49,1017.1,25.9,99.13,23.409,35.798,407.7,391.1,396.6,380.4,16.2,397.9,381.7,16.2,8.056,2,-999,5,-999,5,218.49,2
CHEECA_80W_25N,24.898,-80.618,12/10/11,21:17,394.5,2,8.09,388.4,2,7.55,1016.7,26.6,99.8,23.639,35.815,397.7,391.4,386.5,380.4,6.1,387.8,381.6,6.1,8.062,2,-999,5,-999,5,225.95,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,0:17,389.2,2,7.9,388.2,2,7.48,1017.7,26.4,99.54,23.78,35.917,392.3,391.2,381.6,380.5,1.1,382.9,381.7,1.1,8.064,2,-999,5,-999,5,211.18,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,3:17,365.4,2,7.9,388.2,2,7.46,1018.5,25.8,99.63,23.93,35.991,368.3,391.1,358.5,380.7,-22.2,359.6,381.9,-22.3,8.087,2,-999,5,-999,5,215.3,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,6:17,381.5,2,7.8,387.4,2,7.36,1017.3,25.4,99.29,23.785,35.974,384.5,390.3,373.8,379.5,-5.7,375,380.7,-5.7,8.069,2,-999,5,-999,5,208.17,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,9:17,390,2,7.73,388.5,2,7.31,1016.7,25,99.15,23.64,35.929,393.1,391.4,382.1,380.4,1.7,383.3,381.6,1.7,8.064,2,-999,5,-999,5,208.53,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,12:17,407.7,2,7.63,387.8,2,7.24,1017.7,24.8,98.85,23.409,35.849,410.8,390.7,399.9,380.3,19.6,401.2,381.5,19.7,8.047,2,-999,5,-999,5,206.22,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,15:17,426.7,2,7.74,387.5,2,7.33,1018.9,24.9,98.64,23.243,35.822,430,390.3,419.2,380.5,38.7,420.6,381.7,38.8,8.035,2,-999,5,-999,5,205.75,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,18:17,438.8,2,7.85,386.9,2,7.49,1017.9,25.5,98.77,23.315,35.722,442.3,389.8,430.7,379.6,51.1,432.1,380.8,51.3,8.03,2,-999,5,-999,5,211.11,2
CHEECA_80W_25N,24.898,-80.618,12/11/11,21:17,431.2,2,7.89,387.2,2,7.41,1017.7,25.9,98.93,23.528,35.762,434.6,390.1,423,379.6,43.4,424.4,380.8,43.5,8.032,2,-999,5,-999,5,213.77,2
CHEECA_80W_25N,24.898,-80.618,12/12/11,0:17,387.3,2,7.73,388.1,2,7.28,1018.7,25.5,99.05,23.81,35.991,390.3,390.9,380,380.6,-0.6,381.2,381.9,-0.6,8.055,2,-999,5,-999,5,211.81,2
CHEECA_80W_25N,24.898,-80.618,12/12/11,3:17,384.2,2,7.73,387.2,2,7.27,1019.1,25,98.98,23.88,36.005,387.2,390,377.1,379.9,-2.8,378.3,381.1,-2.8,8.066,2,-999,5,-999,5,207.25,2
CHEECA_80W_25N,24.898,-80.618,12/12/11,6:17,385.6,2,7.7,387.8,2,7.23,1018.3,24.7,98.71,23.877,36.009,388.6,390.6,378.2,380.2,-2,379.4,381.4,-2,8.06,2,-999,5,-999,5,204.04,2
CHEECA_80W_25N,24.898,-80.618,12/12/11,9:17,396.3,2,7.61,387.5,2,7.18,1017.6,24.5,98.32,23.659,36.017,399.4,390.3,388.5,379.7,8.9,389.8,380.9,8.9,8.061,2,-999,5,-999,5,199.59,2
