Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CHEECA_80W_25N,24.898,-80.618,12/10/12,0:17,356.1,2,7.99,387.8,2,7.4,1018.7,29.6,101.49,25.835,36.215,359,390.7,348.3,379,-30.8,349.4,380.3,-30.9,8.092,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/10/12,3:17,365.3,2,7.91,387.2,2,7.49,1019.3,28.3,101.08,25.791,36.214,368.2,390.1,357.5,378.7,-21.2,358.6,379.9,-21.3,8.082,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/10/12,6:17,372.6,2,7.8,387,2,7.48,1018.5,27.6,100.43,25.645,36.207,375.5,389.9,364.3,378.3,-13.9,365.5,379.5,-14,8.075,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/10/12,9:17,378.9,2,7.73,386.6,2,7.47,1017.2,27.2,99.6,25.662,36.217,381.9,389.5,370,377.4,-7.4,371.2,378.6,-7.5,8.066,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/10/12,12:17,372.7,2,7.71,386.7,2,7.47,1018.2,27,99.32,25.686,36.231,375.6,389.6,364.3,377.9,-13.6,365.4,379.1,-13.7,8.077,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/10/12,15:17,380.1,2,8.36,386.3,2,7.93,1018.4,27.1,98.98,25.739,36.229,383.3,389.4,371.8,377.7,-5.9,373,378.9,-6,8.063,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/10/12,18:17,366.4,2,8.45,385.7,2,8.02,1016.2,27.9,99.54,25.923,36.223,369.6,388.8,357.5,376.2,-18.7,358.7,377.4,-18.7,8.082,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/10/12,21:17,350.8,2,8.39,386.3,2,8.06,1015.4,28.3,100.65,26.135,36.238,353.8,389.5,341.8,376.3,-34.5,342.9,377.5,-34.6,8.097,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/11/12,0:17,353.4,2,8.01,386.9,2,7.75,1016.1,28.2,101,26.147,36.247,356.2,389.9,344.5,377,-32.5,345.6,378.2,-32.6,8.093,2,-999,5,-999,5,-999,5
CHEECA_80W_25N,24.898,-80.618,12/11/12,3:17,360.1,2,7.93,386.8,2,7.67,1017.3,27.8,100.83,26.087,36.251,362.9,389.8,351.4,377.4,-26,352.5,378.6,-26.1,8.088,2,-999,5,-999,5,-999,5
