Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2  Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH_SW,QF_pH,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CHEECA_80W_25N,24.898,-80.618,3/7/14,9:17,321.9,2,7.6,395.7,2,7.53,1009.3,25.5,100.95,25.334,36.31,324.4,398.7,312,383.5,-71.5,313,384.7,-71.7,-999,5,-999,5,-999,4,224.8,2
CHEECA_80W_25N,24.898,-80.618,3/7/14,12:17,325.9,2,7.33,396.1,2,7.19,1011.6,25.4,100,25.135,36.235,328.3,399,316.6,384.8,-68.2,317.6,386,-68.5,-999,5,-999,5,-999,4,215.8,2
CHEECA_80W_25N,24.898,-80.618,3/7/14,15:17,314.6,2,7.28,398.7,2,7.49,1013.3,25.4,99.76,25.042,36.48,316.9,401.7,306.2,388.1,-81.9,307.2,389.4,-82.2,-999,5,-999,5,2.919,2,222.9,2
CHEECA_80W_25N,24.898,-80.618,3/7/14,18:17,303.8,2,7.03,400.4,2,6.4,1012.5,25.3,100.18,25.101,36.47,306,402.9,295.4,389,-93.6,296.3,390.2,-93.9,-999,5,-999,5,2.563,2,236.2,2
CHEECA_80W_25N,24.898,-80.618,3/7/14,21:17,381.2,2,6.82,401.3,2,6.02,1012,25,99.36,25.07,36.11,383.8,403.7,370.4,389.5,-19.2,371.5,390.8,-19.2,-999,5,-999,5,-999,4,218.3,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,0:17,419.7,2,6.4,405.2,2,5.59,1013.8,24.5,99,24.444,36.091,422.4,407.5,408.8,394.3,14.4,410.1,395.6,14.5,-999,5,1.135,2,3.21,2,219.5,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,3:17,408.8,2,6.18,405.9,2,5.35,1016.4,23.7,98.63,24.333,35.793,411.3,408.1,399.2,396.1,3.1,400.5,397.4,3.1,-999,5,1.161,2,2.567,2,218.3,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,6:17,444.1,2,5.68,407.7,2,4.86,1016.4,23,97.94,24.018,35.84,446.6,409.7,433.7,397.8,35.8,435.1,399.1,36,-999,5,1.145,2,2.312,2,210.9,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,9:17,439,2,5.4,408.6,2,4.72,1015.9,22.1,97.07,23.833,35.992,441.4,410.5,428.5,398.5,30,429.9,399.8,30.1,-999,5,-999,5,2.522,2,203.3,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,12:17,367.7,2,4.92,409,2,4.3,1018.9,21.3,96.91,23.833,36.264,369.5,410.8,359.8,400,-40.2,361,401.3,-40.3,-999,5,-999,5,2.366,2,208.6,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,15:17,321.3,2,5.23,408.4,2,4.74,1020.4,21.2,97.72,24.13,36.314,323,410.4,314.8,400,-85.2,315.9,401.3,-85.5,-999,5,-999,5,1.874,2,224.8,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,18:17,337.3,2,5.94,406.9,2,5.45,1018.9,22.3,98.86,24.359,36.235,339.4,409.2,330.2,398.1,-67.9,331.2,399.4,-68.1,-999,5,-999,5,2.021,2,233.5,2
CHEECA_80W_25N,24.898,-80.618,3/8/14,21:17,318.7,2,7.35,403.7,2,7.59,1017.8,23.6,99.92,24.912,36.335,321,406.8,311.7,394.9,-83.2,312.7,396.2,-83.5,-999,5,-999,5,1.73,2,236.1,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,0:17,304,2,4.79,404,2,3.64,1019.2,24.5,101.19,24.474,36.219,305.5,405.5,297.2,394.6,-97.3,298.2,395.8,-97.6,-999,5,1.165,2,1.771,2,257.4,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,3:17,305.3,2,5.92,407,2,4.96,1020.1,23.7,102.18,24.176,36.186,307.1,409,299.3,398.5,-99.3,300.2,399.8,-99.6,-999,5,1.132,2,1.591,2,254.9,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,6:17,319.4,2,6.09,405.4,2,5.05,1019.4,23,101.71,24.025,36.305,321.3,407.5,313,396.9,-83.9,314,398.2,-84.2,-999,5,1.139,2,1.579,2,237.2,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,9:17,326.3,2,5.91,406.7,2,5.08,1018.7,22.7,100.87,23.586,36.425,328.2,408.7,319.7,398.1,-78.4,320.8,399.4,-78.7,-999,5,-999,5,1.333,2,229,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,12:17,319.3,2,6.03,407.5,2,5.25,1020.5,22.4,100.15,23.613,36.508,321.2,409.6,313.4,399.7,-86.2,314.5,401,-86.5,-999,5,-999,5,1.185,2,224.9,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,15:17,312.5,2,6.55,405.6,2,5.97,1021.7,22.7,100.14,23.736,36.537,314.5,408,307.2,398.5,-91.3,308.2,399.9,-91.6,-999,5,-999,5,1.025,2,230.8,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,18:17,302,2,7.34,404,2,7.19,1020.3,24,101.02,24.263,36.542,304.2,406.9,296.4,396.5,-100.1,297.4,397.8,-100.4,-999,5,-999,5,0.886,2,246.9,2
CHEECA_80W_25N,24.898,-80.618,3/9/14,21:17,291,2,7.95,399.1,2,7.68,1018.6,25.6,101.92,24.868,36.541,293.3,402.2,285.1,390.8,-105.8,286,392.1,-106.1,-999,5,-999,5,0.73,2,250.8,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,0:17,281.2,2,6.83,399.6,2,5.59,1018.7,26.4,102.68,24.607,36.551,283.2,401.8,275.3,390.7,-115.4,276.2,392,-115.7,-999,5,-999,5,0.988,2,262.2,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,3:17,287.2,2,6.8,399.2,2,5.61,1020.1,25.6,102.91,24.479,36.557,289.1,401.5,281.6,391,-109.4,282.5,392.3,-109.8,-999,5,1.065,2,0.923,2,252,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,6:17,286.5,2,6.8,399.1,2,5.72,1018.6,24.7,102.68,24.326,36.556,288.5,401.3,280.6,390.4,-109.8,281.5,391.7,-110.2,-999,5,1.042,2,0.923,2,245.7,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,9:17,291.9,2,6.46,399.6,2,5.38,1017.7,24.2,102.73,24.192,36.553,293.8,401.8,285.6,390.5,-104.9,286.5,391.8,-105.3,-999,5,-999,5,0.877,2,250.8,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,12:17,292,2,6.62,407.8,2,5.87,1018.6,23.8,102.72,24.132,36.575,293.9,410.2,286,399.2,-113.2,286.9,400.5,-113.6,-999,5,-999,5,0.923,2,248.5,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,15:17,290.5,2,7.38,399.6,2,6.55,1019.5,24.1,102.92,24.214,36.581,292.7,402.2,285,391.7,-106.7,286,393,-107,-999,5,-999,5,0.865,2,250.5,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,18:17,284,2,7.69,400.2,2,6.39,1017.8,25.3,103.57,24.492,36.572,286.2,402.8,278.1,391.4,-113.3,279,392.6,-113.7,-999,5,-999,5,0.816,2,262.3,2
CHEECA_80W_25N,24.898,-80.618,3/10/14,21:17,302.4,2,8.57,399.2,2,6.89,1015.8,27,103.91,24.94,36.478,305,401.9,295.5,389.4,-93.9,296.5,390.7,-94.2,-999,5,-999,5,0.718,2,262.4,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,0:17,291.7,2,7.41,398.2,2,5.87,1015.8,27.6,104.31,24.738,36.475,293.9,400.5,284.9,388.2,-103.4,285.8,389.5,-103.7,-999,5,1.04,2,0.816,2,265.9,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,3:17,294.9,2,7.03,397.8,2,5.6,1017,26.6,104.13,24.657,36.494,297,400,288.3,388.2,-100,289.2,389.5,-100.3,-999,5,1.047,2,0.869,2,256.8,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,6:17,301.3,2,6.93,399,2,5.66,1015.8,25.5,103.59,24.589,36.515,303.3,401.3,294.1,389,-94.9,295,390.3,-95.2,-999,5,1.067,2,0.816,2,249.5,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,9:17,315.7,2,6.49,399.2,2,5.38,1014.1,24.6,102.53,24.484,36.494,317.8,401.4,307.6,388.6,-81,308.6,389.8,-81.2,-999,5,-999,5,0.836,2,237.4,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,12:17,309,2,6.8,399.1,2,5.69,1014.7,24,102.33,24.431,36.476,311.1,401.4,301.4,388.9,-87.5,302.3,390.1,-87.8,-999,5,-999,5,0.775,2,245,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,15:17,309.2,2,7.42,397.8,2,6.76,1014.8,24.5,102.32,24.541,36.483,311.5,400.5,301.7,388,-86.3,302.7,389.2,-86.6,-999,5,-999,5,0.767,2,245,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,18:17,305.9,2,7.99,397,2,6.64,1013.2,26.5,102.96,24.887,36.488,308.3,399.6,298,386.2,-88.3,298.9,387.5,-88.5,-999,5,-999,5,0.828,2,254.6,2
CHEECA_80W_25N,24.898,-80.618,3/11/14,21:17,302.6,2,8.55,396.3,2,6.99,1011.4,28.2,103.94,25.004,36.484,305.2,399.1,294.3,384.9,-90.6,295.3,386.1,-90.9,-999,5,-999,5,0.783,2,269.9,2
CHEECA_80W_25N,24.898,-80.618,3/12/14,0:17,304.5,2,8.01,398.1,2,6.54,1012.1,28.4,104.29,25.004,36.46,307,400.7,296.3,386.7,-90.4,297.2,388,-90.7,-999,5,-999,5,0.8,2,261.2,2
CHEECA_80W_25N,24.898,-80.618,3/12/14,3:17,310.6,2,7.96,397.3,2,6.78,1012.9,27.4,103.82,24.937,36.474,313.1,400,302.4,386.4,-84,303.4,387.6,-84.2,-999,5,1.047,2,0.959,2,250.8,2
CHEECA_80W_25N,24.898,-80.618,3/12/14,6:17,310.7,2,8.01,397.3,2,7.13,1011.3,26.6,103.52,24.884,36.489,313.2,400.2,302.1,386,-83.9,303.1,387.2,-84.1,-999,5,1.059,2,1.222,2,250.7,2
CHEECA_80W_25N,24.898,-80.618,3/12/14,9:17,310,2,7.87,398.6,2,7.1,1010.1,26.2,103.17,24.801,36.502,312.5,401.4,301.1,386.8,-85.7,302,388,-86,-999,5,-999,5,2.226,2,246.1,2
