Mooring Name,Latitude,Longitude,Date,Time,xCO2  SW (wet) (umol/mol),QF,H2O (mmol/mol),xCO2  Air (wet) (umol/mol),QF,H2O (mmol/mol),Licor Atm Pressure  (hPa),Licor Temp (C),% O2,SST (C),Salinity,xCO2  SW (dry) (umol/mol),xCO2  Air (dry) (umol/mol),fCO2  SW (sat) uatm,fCO2  Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH SW,pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CHEECA_80W_25N,24.898,-80.618,3/25/15,18:47,374.1,2,7.48,403.5,2,6.69,1017.7,28.2,99.83,28.337,36.975,376.9,406.2,363.4,391.7,-28.3,364.5,392.9,-28.4,-999,5,-999,5,0.659,2,185.2,2
CHEECA_80W_25N,24.898,-80.618,3/25/15,19:17,378.4,2,5.59,406.4,2,4.53,1017.4,29,100.34,28.659,36.973,380.5,408.2,366.5,393.2,-26.7,367.6,394.4,-26.8,-999,5,-999,5,0.661,2,185.2,2
CHEECA_80W_25N,24.898,-80.618,3/25/15,19:47,376.2,2,5.48,406.2,2,4.34,1017,29.6,100.77,28.463,36.988,378.3,408,364.4,393,-28.6,365.5,394.2,-28.7,-999,5,-999,5,0.693,2,187.3,2
CHEECA_80W_25N,24.898,-80.618,3/25/15,20:17,359,2,5.54,405.9,2,4.24,1016.8,30.1,101.6,28.753,37.039,361,407.6,347.4,392.3,-44.9,348.5,393.5,-45,-999,5,-999,5,0.693,2,188.3,2
CHEECA_80W_25N,24.898,-80.618,3/25/15,20:47,361.5,2,5.58,406,2,4.33,1016.6,30.6,102.18,28.6,36.896,363.5,407.8,349.9,392.5,-42.6,350.9,393.7,-42.8,-999,5,-999,5,0.567,2,191.2,2
CHEECA_80W_25N,24.898,-80.618,3/25/15,21:17,361.6,2,5.64,406.2,2,4.25,1016.5,31,102.37,28.656,36.853,363.6,407.9,349.9,392.6,-42.7,351,393.8,-42.8,-999,5,-999,5,0.624,2,194,2
CHEECA_80W_25N,24.898,-80.618,3/25/15,21:47,360.7,2,5.73,406.4,2,4.31,1016.5,31.4,102.91,28.557,36.953,362.8,408.2,349.1,392.9,-43.7,350.2,394.1,-43.8,-999,5,-999,5,0.783,2,195.9,2
CHEECA_80W_25N,24.898,-80.618,3/25/15,22:17,346,2,5.79,406,2,4.4,1016.4,31.8,103.75,28.47,37.038,348,407.8,335,392.5,-57.5,336,393.8,-57.7,-999,5,-999,5,0.942,2,203.4,2
CHEECA_80W_25N,24.898,-80.618,3/26/15,0:17,345,2,7.2,404.5,2,6,1016.8,31.4,105.23,28.21,37.061,347.5,407,334.8,392.1,-57.3,335.9,393.3,-57.5,-999,5,-999,5,1.061,2,210.8,2
CHEECA_80W_25N,24.898,-80.618,3/26/15,3:17,355.3,2,7.53,402.9,2,6.6,1017.8,29.9,104.96,28.009,37.053,358,405.6,345.4,391.4,-46,346.5,392.6,-46.1,-999,5,0.192,2,1.195,2,198,2
CHEECA_80W_25N,24.898,-80.618,3/26/15,6:17,347,2,7.42,400.3,2,6.83,1016.8,28.9,105.09,27.86,37.08,349.6,403,337.1,388.6,-51.5,338.1,389.8,-51.7,-999,5,0.194,2,1.136,2,203.1,2
CHEECA_80W_25N,24.898,-80.618,3/26/15,9:17,342.8,2,7.28,400.6,2,6.89,1014.9,28.3,104.84,27.748,37.062,345.3,403.4,332.4,388.3,-55.9,333.4,389.5,-56.1,-999,5,-999,5,1.08,2,200,2
CHEECA_80W_25N,24.898,-80.618,3/26/15,12:17,360.1,2,7.3,400.4,2,6.94,1016.5,27.9,103.41,27.708,37.072,362.7,403.2,349.7,388.8,-39.1,350.8,390,-39.2,-999,5,-999,5,1.487,2,186.7,2
CHEECA_80W_25N,24.898,-80.618,3/26/15,15:17,352.8,2,7.86,399.9,2,7.21,1017.3,28.2,102.85,27.853,37.046,355.6,402.8,343.1,388.6,-45.5,344.1,389.8,-45.7,-999,5,-999,5,1.143,2,189.6,2
