Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF,CHL,CHL QF,NTU,NTU QF,DOXY,DOXY QF
CHEECA_80W_25N,24.898,-80.618,3/30/17,3:17,353.1,2,7.03,404.8,2,5.74,1017.1,29.3,101.04,25.543,36.727,355.6,407.2,344.6,394.6,-50,345.7,395.8,-50.2,-999,5,0.079,2,2.291,2,228.4,2
CHEECA_80W_25N,24.898,-80.618,3/30/17,6:17,346.7,2,8.88,404.6,2,7.86,1015.8,27.3,100.97,25.373,36.761,349.8,407.8,338.6,394.8,-56.2,339.7,396.1,-56.4,8.116,2,0.088,2,2.597,2,228.3,2
CHEECA_80W_25N,24.898,-80.618,3/30/17,9:17,353.2,2,8.77,405,2,7.77,1015.6,26.5,100.55,25.229,36.775,356.3,408.2,345,395.2,-50.3,346.1,396.5,-50.4,8.107,2,-999,5,2.867,2,219.7,2
CHEECA_80W_25N,24.898,-80.618,3/30/17,12:17,360.8,2,8.86,405.2,2,7.84,1016.5,26,99.79,25.041,36.818,364,408.4,352.9,395.9,-43,354,397.1,-43.1,8.1,2,-999,5,4.18,2,207.4,2
CHEECA_80W_25N,24.898,-80.618,3/30/17,15:17,339.3,2,8.94,405,2,7.99,1016.1,25.8,100.66,25.123,36.768,342.3,408.2,331.7,395.5,-63.9,332.7,396.8,-64.1,8.122,2,-999,5,3.894,2,225.9,2
CHEECA_80W_25N,24.898,-80.618,3/30/17,18:17,339.1,2,9.72,404.6,2,9.18,1015,25.9,101.4,25.374,36.776,342.4,408.4,331.2,395,-63.8,332.3,396.3,-64,8.121,2,-999,5,4.372,2,228.4,2
CHEECA_80W_25N,24.898,-80.618,3/30/17,21:17,323.9,2,9.65,405.2,2,7.72,1013.8,26.5,102.4,25.648,36.813,327.1,408.3,315.9,394.3,-78.5,316.9,395.6,-78.7,8.13,2,-999,5,5.558,2,239.3,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,0:17,341.7,2,8.78,404.6,2,7.31,1013.9,27.4,102.53,25.657,36.808,344.7,407.6,332.9,393.6,-60.8,333.9,394.9,-60.9,8.117,2,-999,5,4.602,2,228,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,3:17,326.2,2,8.9,404.1,2,8.03,1014.9,27,102.91,25.426,36.79,329.1,407.4,318.3,394,-75.7,319.3,395.2,-75.9,8.137,2,0.144,2,5.513,2,233.5,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,6:17,341.2,2,8.74,404.1,2,8.22,1013.9,26.4,102.49,25.33,36.75,344.2,407.4,332.6,393.7,-61.1,333.7,395,-61.3,8.123,2,0.138,2,6.668,2,224,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,9:17,351.5,2,8.79,403.9,2,8.32,1012.8,26,101.69,25.194,36.756,354.6,407.3,342.4,393.2,-50.9,343.5,394.5,-51,8.107,2,-999,5,9.127,2,213.4,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,12:17,347.7,2,9.13,404.3,2,8.51,1015.2,25.8,100.89,25.018,36.772,350.9,407.8,339.7,394.8,-55.1,340.8,396.1,-55.3,8.113,2,-999,5,9.877,2,208.7,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,15:17,343.6,2,9.98,405.6,2,8.89,1015.7,26,100.62,25.169,36.759,347,409.3,336,396.3,-60.3,337.1,397.6,-60.5,8.12,2,-999,5,6.769,2,214.1,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,18:17,343.3,2,10.26,405.8,2,10.01,1014.6,26.6,100.98,25.553,36.763,346.8,409.9,335.3,396.2,-60.9,336.3,397.5,-61.1,8.122,2,-999,5,5.13,2,218.3,2
CHEECA_80W_25N,24.898,-80.618,3/31/17,21:17,340,2,9.7,407.5,2,7.78,1012.7,27.7,101.36,25.922,36.791,343.3,410.7,331,396,-65,332,397.2,-65.2,8.117,2,-999,5,6.316,2,225.3,2
CHEECA_80W_25N,24.898,-80.618,4/1/17,0:17,346.7,2,9.24,406,2,7.97,1012.7,28.4,101.57,25.933,36.71,349.9,409.2,337.4,394.5,-57.2,338.4,395.8,-57.4,8.111,2,-999,5,5.307,2,221.1,2
CHEECA_80W_25N,24.898,-80.618,4/1/17,3:17,356.4,2,9.75,404.5,2,8.94,1014.2,27.8,101.06,25.851,36.684,359.9,408.2,347.5,394.2,-46.7,348.6,395.4,-46.8,8.102,2,0.118,2,4.843,2,211,2
CHEECA_80W_25N,24.898,-80.618,4/1/17,6:17,349.9,2,9.73,404.4,2,9.07,1013.7,27.3,101.13,25.802,36.674,353.3,408.1,341.1,393.9,-52.8,342.1,395.1,-53,8.112,2,0.123,2,5.11,2,218.3,2
