Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,15:17,568.7,2,7.93,398.3,2,7.22,1021.7,28,92.82,28.12,35.922,573.2,401.2,555.2,388.6,166.6,556.9,389.8,167.1,-999,4,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,15:47,548.7,2,5.83,401.5,2,5.02,1021.8,28.9,93.75,28.281,35.918,552,403.5,534.5,390.7,143.7,536.1,391.9,144.2,-999,5,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,16:17,544.7,2,5.73,402.1,2,4.74,1021.9,29.5,94.62,28.289,35.896,547.8,404,530.5,391.2,139.3,532.1,392.4,139.7,-999,5,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,16:47,538.1,2,5.67,401.6,2,4.74,1021.8,30.2,95.29,28.316,35.89,541.2,403.5,524,390.7,133.3,525.6,391.9,133.7,-999,5,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,17:17,534.3,2,5.69,401.5,2,4.71,1021.8,30.7,95.88,28.386,35.877,537.3,403.4,520.2,390.6,129.6,521.8,391.8,130,-999,5,-999,5,-999,4,189.5,2
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,17:47,537.6,2,6,401.7,2,4.96,1021.6,31.2,96.37,28.465,35.886,540.8,403.7,523.3,390.6,132.7,524.9,391.8,133.1,-999,5,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,18:17,535.5,2,5.85,401.7,2,4.85,1021.5,31.6,96.72,28.476,35.868,538.6,403.7,521.1,390.6,130.5,522.8,391.8,130.9,7.967,2,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,18:47,541.8,2,5.87,401.8,2,4.98,1021.1,31.9,97.13,28.609,35.85,545,403.8,527,390.4,136.5,528.6,391.6,137,-999,5,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/10/17,21:17,-999,4,7.74,-999,4,6.71,1019.9,31.5,97.4,28.82,35.821,-999,-999,-999,-999,-999,-999,-999,-999,7.961,2,-999,5,-999,4,-999,5
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,0:17,523.7,2,7.61,400.6,2,6.77,1019.5,30.7,97.56,28.49,35.835,527.7,403.4,509.5,389.4,120.1,511.1,390.7,120.5,7.973,2,-999,5,-999,4,194.8,2
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,3:17,519,2,7.19,400.6,2,6.62,1020.4,29,97.77,28.209,35.908,522.8,403.3,505.5,390,115.5,507.1,391.2,115.9,7.984,2,0.892,2,-999,4,194.5,2
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,6:17,530,2,7.08,400.5,2,6.5,1019,28.4,97.9,28.106,35.847,533.7,403.1,515.5,389.4,126.2,517.1,390.6,126.5,7.976,2,0.872,2,-999,4,192.6,2
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,9:17,531.3,2,7,400.7,2,6.42,1018.3,28.1,97.96,28.152,35.832,535,403.3,516.4,389.2,127.1,518,390.4,127.5,7.969,2,-999,5,-999,4,191.2,2
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,12:17,531.6,2,7.33,400.2,2,6.79,1018.6,28,98,28.153,35.887,535.5,403,517,389,128,518.6,390.2,128.4,7.973,2,-999,5,-999,4,188.6,2
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,15:17,546.4,2,7.63,399.9,2,6.8,1019.1,29.4,97.95,28.209,35.898,550.6,402.7,531.8,388.9,142.9,533.4,390.1,143.3,7.963,2,-999,5,-999,4,185.7,2
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,18:17,561.5,2,7.71,400.8,2,6.76,1017.3,30.2,98.03,28.664,35.853,565.9,403.5,545,388.6,156.3,546.6,389.8,156.8,7.966,2,-999,5,-999,4,191.1,2
GRAYSRF_81W_31N,31.399,-80.869,8/11/17,21:17,547.5,2,7.76,401.1,2,6.97,1016.3,29.7,98.13,28.813,35.838,551.7,404,530.6,388.5,142.1,532.2,389.7,142.6,7.963,2,-999,5,-999,4,191.9,2
GRAYSRF_81W_31N,31.399,-80.869,8/12/17,0:17,529.3,2,7.48,401.8,2,6.79,1015.5,29.7,98.19,28.677,35.882,533.3,404.5,512.6,388.8,123.8,514.2,390,124.2,7.974,2,-999,5,-999,4,193.5,2
GRAYSRF_81W_31N,31.399,-80.869,8/12/17,3:17,520.6,2,7.18,403.7,2,6.68,1015.8,28.9,98.27,28.24,35.919,524.3,406.4,504.7,391.1,113.5,506.2,392.3,113.9,7.981,2,-999,4,-999,4,192.8,2
GRAYSRF_81W_31N,31.399,-80.869,8/12/17,6:17,529.9,2,7,403.7,2,6.53,1013.9,28.4,98.31,28.272,35.858,533.6,406.3,512.6,390.3,122.3,514.1,391.5,122.6,7.972,2,-999,4,-999,4,193.5,2
GRAYSRF_81W_31N,31.399,-80.869,8/12/17,9:17,531.4,2,6.97,408.9,2,6.57,1014.1,28.2,98.37,28.326,35.828,535.1,411.6,514.1,395.4,118.7,515.7,396.6,119.1,7.972,2,-999,5,-999,4,192,2
GRAYSRF_81W_31N,31.399,-80.869,8/12/17,12:17,535.9,2,7.27,409.8,2,6.75,1015.5,28.2,98.33,28.311,35.828,539.8,412.6,519.3,396.9,122.4,520.9,398.1,122.8,7.965,2,-999,5,-999,4,187.2,2
