Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
GRAYSRF_81W_31N,31,80.5,1/25/13,9:17,305,2,3.28,403.8,2,3.26,1026.4,14.5,99.86,-999,-999,306,405.1,-999,-999,-999,-999,-999,-999,8.168,2,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,80.5,1/25/13,12:17,301.2,2,3.45,401.4,2,3.41,1026.4,14.5,99.76,-999,-999,302.3,402.8,-999,-999,-999,-999,-999,-999,8.165,2,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,80.5,1/25/13,15:17,299.5,2,4.14,401.2,2,4.21,1026.6,15.4,99.78,-999,-999,300.8,402.9,-999,-999,-999,-999,-999,-999,8.166,2,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,80.5,1/25/13,18:17,297.7,2,3.19,405.7,2,3.24,1023.7,15.6,99.74,-999,-999,298.6,407.1,-999,-999,-999,-999,-999,-999,8.164,2,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,80.5,1/25/13,21:17,296.1,2,3.69,405,2,3.81,1022,15.7,99.76,-999,-999,297.2,406.6,-999,-999,-999,-999,-999,-999,8.169,2,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,80.5,1/26/13,0:17,296.5,2,3.6,403.4,2,3.59,1021.8,15,99.78,15.678,36.504,297.6,404.9,293.9,399.9,-106,295,401.3,-106.4,8.172,2,-999,5,-999,4,207.7,2
GRAYSRF_81W_31N,31,80.5,1/26/13,3:17,298.1,2,3.67,403.4,2,3.69,1021.6,14.8,99.82,15.445,36.482,299.2,404.9,295.5,399.9,-104.5,296.6,401.4,-104.8,8.171,2,0.227,2,-999,4,209.2,2
GRAYSRF_81W_31N,31,80.5,1/26/13,6:17,301,2,3.8,403.6,2,3.84,1021,14.9,99.85,15.255,36.446,302.2,405.1,298.4,400,-101.6,299.4,401.5,-102,8.173,2,0.261,2,-999,4,209.8,2
GRAYSRF_81W_31N,31,80.5,1/26/13,9:17,299.2,2,3.77,408.7,2,3.8,1020.7,15.1,99.85,15.337,36.48,300.3,410.3,296.4,404.9,-108.5,297.5,406.4,-108.9,8.165,2,-999,5,-999,4,208.9,2
GRAYSRF_81W_31N,31,80.5,1/26/13,12:17,298.7,2,3.9,404.5,2,3.95,1021.4,15.4,99.77,15.479,36.493,299.9,406.1,296.1,401,-104.9,297.2,402.4,-105.3,8.171,2,-999,5,-999,4,207.5,2
