Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
GRAYSRF_81W_31N,31.399,-80.869,6/1/17,20:17,435.5,2,9.93,415.3,2,8.61,1017,30.1,113.82,-999,-999,439.8,418.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.399,-80.869,6/1/17,20:47,419.3,2,8.97,416.6,2,7.5,1016.7,30.6,111.25,-999,-999,423.1,419.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.399,-80.869,6/1/17,21:17,414.2,2,8.91,416.1,2,7.43,1016.7,30.8,109.35,-999,-999,417.9,419.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.399,-80.869,6/1/17,21:47,409.4,2,8.67,416.6,2,7.22,1016.9,30.9,107.66,-999,-999,413,419.6,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.399,-80.869,6/1/17,22:17,406.7,2,8.42,416.2,2,7.14,1016.8,30.9,106.44,-999,-999,410.1,419.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.399,-80.869,6/1/17,22:47,404.7,2,8.25,417.2,2,7.05,1016.7,30.8,105.43,-999,-999,408.1,420.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.399,-80.869,6/1/17,23:47,406.6,2,8.88,413.8,2,7.88,1016.7,30,104.59,26.338,36.594,410.2,417.1,396.8,403.4,-6.6,398,404.7,-6.7,-999,5,-999,5,0.405,2,213.8,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,0:17,407.2,2,8.01,414.2,2,7.06,1016.9,29.9,103.97,26.315,36.608,410.4,417.2,397.1,403.6,-6.5,398.3,404.9,-6.5,-999,5,-999,5,0.359,2,213.3,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,0:47,406.9,2,7.94,414.5,2,7.1,1017.1,29.7,103.29,26.284,36.632,410.1,417.4,396.9,403.9,-7.1,398.1,405.2,-7.1,-999,5,-999,5,0.353,2,212.8,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,1:17,407.9,2,7.92,415.9,2,7.19,1017.4,29.5,102.9,26.251,36.652,411.2,418.9,398,405.5,-7.5,399.3,406.8,-7.5,-999,5,-999,5,0.348,2,212.9,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,1:47,406.1,2,7.86,415.7,2,7.16,1017.6,29.4,102.46,26.201,36.657,409.3,418.7,396.3,405.4,-9.1,397.6,406.7,-9.1,-999,5,-999,5,0.416,2,212.3,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,2:17,404.9,2,7.88,416.9,2,7.24,1018.3,29.2,102.15,26.172,36.653,408.2,420,395.5,407,-11.5,396.8,408.3,-11.5,-999,5,0.635,2,0.365,2,212.5,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,2:47,403.8,2,7.83,417.3,2,7.23,1018.3,29,102,26.137,36.644,407,420.4,394.5,407.4,-12.9,395.7,408.7,-13,-999,5,0.657,2,0.358,2,212.5,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,3:17,404,2,7.76,416.9,2,7.23,1018,28.8,101.71,26.134,36.625,407.2,420,394.5,406.9,-12.4,395.7,408.2,-12.4,-999,5,0.659,2,0.382,2,211.7,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,6:17,407.7,2,8.8,410,2,8.29,1016.6,26.9,101.39,26.086,36.53,411.4,413.4,398,400,-2,399.3,401.3,-2,-999,5,0.51,2,0.37,2,210.3,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,9:17,409.8,2,8.56,420.9,2,8.12,1015.9,26.5,101,25.973,36.575,413.3,424.3,399.7,410.3,-10.6,401,411.6,-10.6,-999,5,-999,5,0.423,2,208.2,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,12:17,418.5,2,8.79,418.1,2,8.17,1018.1,26.2,100.63,26.097,36.643,422.2,421.5,409.1,408.5,0.7,410.4,409.8,0.7,-999,5,-999,5,0.452,2,207.4,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,15:17,416.5,2,9.04,411.6,2,8.2,1018.2,27.3,100.45,26.174,36.647,420.3,415,407.2,402.1,5.1,408.5,403.4,5.1,-999,5,-999,5,0.373,2,207.6,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,18:17,411.5,2,8.84,404.8,2,7.7,1017.3,26.7,100.24,26.076,36.601,415.2,407.9,402,395,7,403.3,396.2,7.1,-999,5,-999,5,0.381,2,208.4,2
GRAYSRF_81W_31N,31.399,-80.869,6/2/17,21:17,414.1,2,9.16,403.7,2,7.88,1015.9,26.6,100.14,26.163,36.593,417.9,406.9,404,393.4,10.6,405.3,394.6,10.6,-999,5,-999,5,0.377,2,208.4,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,0:17,413.9,2,8.88,405.9,2,7.88,1016.4,27.5,100.03,26.184,36.619,417.6,409.1,404,395.7,8.2,405.2,397,8.3,-999,5,-999,5,0.399,2,210.4,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,3:17,413.4,2,8.57,405.5,2,7.85,1017,26.9,99.95,26.131,36.625,416.9,408.7,403.6,395.5,8,404.8,396.8,8,-999,5,0.695,2,0.4,2,209.1,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,6:17,412.6,2,8.43,412.4,2,7.89,1016,26.4,99.77,26.073,36.597,416.1,415.7,402.3,402,0.4,403.6,403.2,0.4,-999,5,0.542,2,0.392,2,207.3,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,9:17,411.4,2,8.22,411.1,2,7.63,1015.7,25.9,99.68,26.037,36.587,414.8,414.2,401,400.5,0.6,402.3,401.7,0.6,-999,5,-999,5,0.368,2,206.2,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,12:17,420.1,2,9.06,410.5,2,8.48,1017.6,25.8,99.62,26.086,36.602,423.9,414,410.6,401,9.6,411.9,402.2,9.6,-999,5,-999,5,0.382,2,204.2,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,15:17,429.3,2,9.46,411.4,2,8.56,1017.7,28.9,99.49,26.369,36.628,433.4,414.9,419.6,401.7,17.9,420.9,402.9,18,-999,5,-999,5,0.364,2,205.6,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,18:17,420,2,9.39,404.7,2,8.36,1016.7,28.3,99.49,26.5,36.593,424,408.1,410,394.6,15.4,411.3,395.9,15.4,-999,5,-999,5,0.382,2,208.3,2
GRAYSRF_81W_31N,31.399,-80.869,6/3/17,21:17,418.7,2,9.67,403.8,2,8.61,1015.3,28.3,99.48,26.552,36.597,422.8,407.3,408.2,393.2,14.9,409.4,394.5,15,-999,5,-999,5,0.383,2,207.7,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,0:17,414.5,2,8.93,404.4,2,8.32,1015.4,27.5,99.57,26.36,36.591,418.3,407.8,404,393.9,10.1,405.3,395.1,10.1,-999,5,-999,5,0.389,2,209.1,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,3:17,413.8,2,8.51,404.7,2,8.1,1017.1,26.6,99.62,26.339,36.591,417.4,408,403.8,394.8,9.1,405.1,396,9.1,-999,5,0.566,2,0.418,2,209.7,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,6:17,412.6,2,8.4,404.9,2,7.97,1015.4,26.3,99.57,26.265,36.598,416.1,408.1,402,394.3,7.7,403.3,395.5,7.8,-999,5,0.517,2,0.44,2,208.5,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,9:17,415.4,2,8.29,404.8,2,7.9,1015.1,26,99.46,26.174,36.597,418.9,408.1,404.6,394.2,10.4,405.9,395.4,10.5,-999,5,-999,5,0.4,2,206.3,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,12:17,421.9,2,9.61,403.5,2,9.15,1016.1,26.4,99.42,26.214,36.597,426,407.2,411.9,393.7,18.2,413.2,394.9,18.3,-999,5,-999,5,0.429,2,205.4,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,15:17,427.5,2,9.95,403.2,2,8.78,1016.1,30.3,99.36,26.547,36.613,431.8,406.8,417.2,393.1,24.1,418.5,394.3,24.2,-999,5,-999,5,0.398,2,207.6,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,18:17,427.8,2,10.14,404,2,8.97,1015.1,30.8,99.33,26.955,36.608,432.1,407.6,416.8,393.1,23.6,418.1,394.4,23.7,-999,5,-999,5,0.361,2,208,2
GRAYSRF_81W_31N,31.399,-80.869,6/4/17,21:17,421.4,2,10.2,404.2,2,8.86,1013.2,29.8,99.38,26.751,36.608,425.8,407.8,410,392.7,17.3,411.3,393.9,17.3,-999,5,-999,5,0.421,2,207.6,2
GRAYSRF_81W_31N,31.399,-80.869,6/5/17,0:17,420,2,9.41,404.4,2,8.56,1013.6,27.9,99.47,26.527,36.604,424,407.9,408.7,393.1,15.5,409.9,394.4,15.6,-999,5,-999,5,0.401,2,207.9,2
GRAYSRF_81W_31N,31.399,-80.869,6/5/17,3:17,415.1,2,8.92,404.2,2,8.46,1014,27,99.54,26.483,36.632,418.9,407.6,403.9,393.1,10.8,405.2,394.3,10.9,-999,5,0.546,2,0.421,2,210.9,2
GRAYSRF_81W_31N,31.399,-80.869,6/5/17,6:17,415.8,2,8.67,405.4,2,8.32,1012.6,26.6,99.74,26.419,36.641,419.4,408.8,403.9,393.7,10.2,405.2,395,10.2,-999,5,0.569,2,0.405,2,209.8,2
GRAYSRF_81W_31N,31.399,-80.869,6/5/17,9:17,418,2,8.7,409.2,2,8.37,1011.3,26.6,99.63,26.33,36.62,421.7,412.7,405.6,397,8.6,406.9,398.2,8.7,-999,5,-999,5,0.402,2,207.1,2
GRAYSRF_81W_31N,31.399,-80.869,6/5/17,12:17,420.3,2,8.82,417.5,2,8.43,1012.2,26.5,99.56,26.36,36.622,424.1,421.1,408.2,405.4,2.9,409.5,406.7,2.9,-999,5,-999,5,0.409,2,206.1,2
