Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
GRAYSRF_81W_31N,31,-80,10/28/13,21:17,392.9,2,4.75,396,2,3.83,1022,25.5,98.45,-999,-999,394.8,397.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,0:17,386.7,2,4.5,396.6,2,3.8,1022.8,22.9,98.65,-999,-999,388.5,398.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,3:17,385.9,2,4.47,396.2,2,3.86,1023.6,22,98.7,-999,-999,387.7,397.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,6:17,391.3,2,4.48,397.7,2,3.98,1022.8,22,98.76,-999,-999,393.1,399.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,9:17,390.8,2,4.47,397.1,2,4.02,1023.1,22,98.73,-999,-999,392.6,398.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,12:17,387.6,2,4.51,395.7,2,4.11,1024.7,21.9,98.81,-999,-999,389.3,397.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,15:17,384.1,2,4.45,396.6,2,4.12,1026.1,22.3,98.76,-999,-999,385.9,398.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,18:17,389.8,2,4.59,399.1,2,3.89,1024,22.4,98.83,-999,-999,391.6,400.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/29/13,21:17,390.5,2,4.64,397.4,2,3.93,1023.6,22.8,98.97,-999,-999,392.3,399,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,0:17,385.7,2,4.58,396.5,2,3.98,1024.3,22.2,99.05,-999,-999,387.5,398.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,3:17,383.7,2,4.59,395.4,2,3.85,1025.2,21.9,98.95,-999,-999,385.5,396.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,6:17,388.5,2,4.65,395.5,2,4.05,1023.3,21.8,99.03,-999,-999,390.3,397.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,9:17,394.5,2,4.72,395.6,2,4.17,1023,22.1,98.97,-999,-999,396.4,397.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,12:17,392.2,2,4.94,395.7,2,4.41,1024.2,22.6,98.84,-999,-999,394.1,397.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,15:17,385.9,2,4.91,400.9,2,4.57,1025.4,23.3,98.79,-999,-999,387.8,402.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,18:17,389.5,2,5.01,397.3,2,4.27,1023.5,23.2,98.86,-999,-999,391.5,399,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/30/13,21:17,392.1,2,4.91,396.8,2,4.12,1022.1,23.6,98.98,-999,-999,394,398.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,0:17,388.3,2,4.87,395.3,2,4.12,1022.5,22.8,99.01,-999,-999,390.2,397,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,3:17,386.2,2,4.82,395.2,2,4.12,1022.1,22.2,99.01,-999,-999,388,396.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,6:17,388.5,2,4.86,395.2,2,4.27,1021.4,22.2,98.96,-999,-999,390.4,396.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,9:17,392.2,2,5,395.1,2,4.56,1020.3,22.7,98.94,-999,-999,394.1,396.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,12:17,394,2,5.21,394.5,2,4.92,1020.6,23.2,98.87,-999,-999,396,396.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,15:17,397,2,6.36,394.1,2,5.79,1020.5,24.7,98.94,-999,-999,399.5,396.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,18:17,-999,4,7.52,392.8,2,6.25,1018,29.9,98.88,-999,-999,-999,395.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,10/31/13,21:17,401,2,6.61,393,2,6.07,1015.8,30.1,99.01,-999,-999,403.7,395.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,11/1/13,0:17,393,2,5.72,394,2,5.7,1015.5,26.2,99.2,23.074,-999,395.3,396.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,0.269,2,-999,4
GRAYSRF_81W_31N,31,-80,11/1/13,3:17,389.4,2,5.57,393.9,2,5.57,1015.3,24.7,99.16,-999,-999,391.6,396.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,11/1/13,6:17,391.2,2,5.48,393.5,2,5.54,1014.3,24.3,99.1,22.922,-999,393.4,395.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,0.26,2,-999,4
GRAYSRF_81W_31N,31,-80,11/1/13,9:17,396.6,2,5.37,401.2,2,5.34,1012.6,24,99.1,-999,-999,398.8,403.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,11/1/13,12:17,396.9,2,5.47,398.5,2,5.5,1012.3,23.9,99.18,23.075,-999,399,400.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,0.329,2,-999,4
GRAYSRF_81W_31N,31,-80,11/1/13,15:17,397.2,2,5.55,408.8,2,5.43,1013,24.2,99.11,-999,-999,399.4,411,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,11/1/13,18:17,396.2,2,5.61,406.5,2,5.48,1010.5,24.3,99.16,23.122,-999,398.4,408.7,-999,-999,-999,-999,-999,-999,-999,5,0.33,2,0.346,2,-999,4
GRAYSRF_81W_31N,31,-80,11/1/13,21:17,394.3,2,5.6,398.4,2,5.59,1008.9,24.4,99.48,-999,-999,396.5,400.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,11/2/13,0:17,391.6,2,5.61,393.9,2,5.58,1009.3,24.2,99.53,23.196,-999,393.8,396.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,0.284,2,-999,4
GRAYSRF_81W_31N,31,-80,11/2/13,3:17,396.3,2,5.6,395,2,5.54,1008.6,24.1,99.5,-999,-999,398.6,397.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31,-80,11/2/13,6:17,394.8,2,5,396.2,2,5.03,1008.7,24,99.36,23.053,-999,396.8,398.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,0.257,2,-999,4
GRAYSRF_81W_31N,31,-80,11/2/13,9:17,388.9,2,4.6,398,2,4.58,1008.3,22.5,99.44,-999,-999,390.7,399.8,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
