Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
GRAYSRF_81W_31N,31.4,80.868,9/30/11,21:17,435,2,10.87,386.4,2,6.57,1006.3,33.8,100.63,27.985,36.336,439.8,389,419.4,371,48.4,420.7,372.1,48.6,8.035,2,-999,5,0.472,2,192.9,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,0:17,432.3,2,11.79,384,2,9.42,1006.1,31.8,101.26,27.884,36.325,437.5,387.7,417.2,369.7,47.5,418.5,370.9,47.6,8.03,2,-999,5,0.692,2,194.8,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,3:17,428.2,2,9.15,389.6,2,6.78,1007.8,28.8,101.36,27.838,36.319,432.2,392.3,412.9,374.8,38.1,414.2,376,38.2,8.032,2,1.59,2,0.88,2,191,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,6:17,422.3,2,8.15,387.8,2,6.75,1008.8,26.1,100.25,27.685,36.337,425.8,390.5,407.4,373.6,33.8,408.6,374.8,33.9,8.035,2,1.544,2,0.922,2,189.1,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,9:17,424.6,2,7.71,393.2,2,6.44,1009.5,25,100.19,27.549,36.339,427.9,395.7,409.8,379,30.8,411.1,380.1,30.9,8.036,2,-999,5,0.678,2,187.7,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,12:17,424.9,2,7.54,394.8,2,6.17,1011.2,24,100.21,27.447,36.289,428.1,397.2,410.9,381.2,29.7,412.1,382.4,29.8,8.04,2,-999,5,1.106,2,187.1,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,15:17,422.5,2,6.94,393,2,5.76,1013,23.3,100.37,27.454,36.336,425.5,395.2,409,380,29.1,410.3,381.2,29.2,8.043,2,-999,5,0.72,2,187.1,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,18:17,421.7,2,8.1,388.6,2,5.81,1012.3,23.2,100.55,27.467,36.331,425.1,390.9,408.4,375.5,32.9,409.7,376.7,33,8.045,2,-999,5,0.724,2,191.4,2
GRAYSRF_81W_31N,31.4,80.868,10/1/11,21:17,416.9,2,8.17,384.6,2,5.47,1012,25.1,100.77,27.359,36.308,420.3,386.7,403.7,371.5,32.3,405,372.6,32.4,8.05,2,-999,5,0.764,2,192.7,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,0:17,417.8,2,7.2,383.8,2,4.94,1013.4,24.1,100.95,27.26,36.313,420.8,385.7,404.9,371.1,33.7,406.1,372.3,33.8,8.05,2,-999,5,0.792,2,191.8,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,3:17,418.5,2,6.59,384,2,5.35,1014.8,22.6,101.1,27.219,36.328,421.2,386,405.9,372,33.9,407.2,373.1,34,8.047,2,1.412,2,0.684,2,189.2,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,6:17,417.2,2,6.53,384.3,2,4.97,1015.3,22.4,100.9,27.112,36.329,419.9,386.2,404.9,372.4,32.5,406.2,373.6,32.6,8.047,2,1.374,2,0.664,2,188.2,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,9:17,418.7,2,6.19,384.5,2,4.86,1015.3,21.9,100.86,26.916,36.31,421.3,386.4,406.5,372.7,33.7,407.7,373.9,33.8,8.046,2,-999,5,1.046,2,187.1,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,12:17,435.9,2,6.7,388.2,2,5.23,1016.5,21.6,100.41,26.831,36.302,438.8,390.2,423.9,377,47,425.3,378.2,47.1,8.034,2,-999,5,0.932,2,180.5,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,15:17,434.2,2,6.65,390,2,5.23,1018,21.2,100.18,26.917,36.343,437.1,392.1,422.8,379.3,43.5,424.1,380.5,43.7,8.035,2,-999,5,0.826,2,181.7,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,18:17,432.2,2,7.28,385.5,2,5.18,1016.2,23.7,100.22,27.112,36.35,435.4,387.5,420.2,374,46.2,421.5,375.1,46.4,8.039,2,-999,5,0.492,2,185.8,2
GRAYSRF_81W_31N,31.4,80.868,10/2/11,21:17,432.2,2,8.38,383.6,2,5.62,1015.1,27.4,99.96,26.963,36.319,435.8,385.8,420.3,372.1,48.2,421.6,373.2,48.4,8.037,2,-999,5,0.588,2,185.1,2
GRAYSRF_81W_31N,31.4,80.868,10/3/11,0:17,439,2,9,381.1,2,6.35,1015.7,26.2,99.65,26.813,36.302,443,383.6,427.6,370.3,57.3,428.9,371.4,57.5,8.022,2,-999,5,1.192,2,180.2,2
