Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
GRAYSRF_81W_31N,31.4,80.868,9/19/12,18:17,499.6,2,12.73,410.1,2,11.42,1015.1,27.4,97.79,-999,-999,506.1,414.8,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/19/12,21:17,489.6,2,14.58,406.3,2,13.06,1015,27.8,97.9,-999,-999,496.9,411.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,0:17,483.2,2,13.98,399.3,2,12.25,1015.3,27.7,97.98,-999,-999,490.1,404.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,3:17,490.6,2,13.69,401.4,2,12.53,1016.9,27.1,98.07,-999,-999,497.4,406.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,6:17,483.5,2,13.16,406.9,2,12.21,1016.6,26.7,98.15,-999,-999,490,412,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,9:17,476.1,2,13.4,393.9,2,12.35,1016.3,26.4,98.11,-999,-999,482.5,398.8,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,12:17,483.8,2,13.57,391.7,2,12.58,1017.5,26.2,98.02,-999,-999,490.4,396.6,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,15:17,489.7,2,13.87,392.7,2,12.71,1018.1,26.3,97.94,-999,-999,496.5,397.7,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,18:17,483,2,13.63,394.1,2,12.5,1016.9,26.4,98.05,-999,-999,489.6,399.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/20/12,21:17,475.9,2,13.5,394.7,2,12.37,1016.4,26.4,98.13,-999,-999,482.4,399.6,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/21/12,0:17,479.6,2,13.49,393.3,2,12.21,1016.6,26.2,98.1,-999,-999,486.1,398.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/21/12,3:17,487.5,2,13.4,392.6,2,12.22,1016.9,26,98.04,-999,-999,494.2,397.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/21/12,6:17,483,2,13.32,392.7,2,12.24,1016.5,26,98.07,-999,-999,489.5,397.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/21/12,9:17,482,2,13.52,391.9,2,12.37,1016,26.1,97.99,-999,-999,488.6,396.9,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
GRAYSRF_81W_31N,31.4,80.868,9/21/12,12:17,487.2,2,13.94,393,2,12.79,1016.8,26.2,97.97,-999,-999,494.1,398.1,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
