Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) (uatm),fCO2 Air (sat) (uatm),dfCO2,pCO2 SW (sat) (uatm),pCO2 Air (sat) (uatm),dpCO2,pH (total scale),pH QF,CHL (ug/l),CHL QF,NTU (NTU),NTU QF,DOXY (umol/kg),DOXY QF
NH_70W_43N,43.02,-70.543,11/15/16,16:17,473.2,2,1.64,423.3,2,1.67,1015.1,11,98.93,-999,-999,473.9,424,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,16:47,480.9,2,1.39,424.9,2,1.38,1014.7,11.7,98.17,-999,-999,481.5,425.5,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,17:17,483.5,2,1.42,423.4,2,1.39,1014.6,12.1,97.63,-999,-999,484.2,424,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,17:47,485.2,2,1.46,423.2,2,1.43,1013.9,12.4,97.32,-999,-999,485.9,423.8,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,18:17,484.9,2,1.5,422.5,2,1.47,1013.3,12.5,97.16,-999,-999,485.6,423.2,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,18:47,485.1,2,1.53,422.8,2,1.5,1013.1,12.7,96.92,-999,-999,485.8,423.4,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,19:17,485.4,2,1.57,421.9,2,1.55,1012.5,12.8,96.93,-999,-999,486.2,422.6,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,19:47,484.1,2,1.61,420,2,1.59,1013.1,12.9,96.85,-999,-999,484.9,420.6,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/15/16,21:17,482.7,2,2,419.5,2,1.99,1013,12.2,96.8,-999,-999,483.7,420.3,-999,-999,-999,-999,-999,-999,-999,5,-999,5,-999,5,-999,5
NH_70W_43N,43.02,-70.543,11/16/16,0:17,489.3,2,2.09,413.6,2,2.11,1009.1,11.8,96.87,10.748,32.598,490.4,414.5,480.4,406,74.4,482.2,407.6,74.6,-999,5,-999,5,1,2,245.9,2
NH_70W_43N,43.02,-70.543,11/16/16,3:17,478.6,2,2.27,401.9,2,2.29,1006.2,11.9,96.89,10.688,32.642,479.7,402.8,468.6,393.5,75.1,470.4,395,75.4,-999,5,1.164,2,0.896,2,252.7,2
NH_70W_43N,43.02,-70.543,11/16/16,6:17,486.9,2,2.26,401.9,2,2.29,1004.8,12.1,96.91,10.79,32.696,488,402.8,476,392.9,83.1,477.8,394.4,83.4,-999,5,0.928,2,0.829,2,247.1,2
