Mooring Name,Latitude,Longitude,Date,Time,xCO2 SW (wet) (umol/mol),CO2 SW QF,H2O SW (mmol/mol),xCO2 Air (wet) (umol/mol),CO2 Air QF,H2O Air (mmol/mol),Licor Atm Pressure (hPa),Licor Temp (C),MAPCO2 %O2,SST (C),Salinity,xCO2 SW (dry) (umol/mol),xCO2 Air (dry) (umol/mol),fCO2 SW (sat) uatm,fCO2 Air (sat) uatm,dfCO2,pCO2 SW (sat) uatm,pCO2 Air (sat) uatm,dpCO2,pH (total scale),pH QF
NH_70W_43N,43.02,-70.543,9/25/17,18:17,244.2,2,5.02,418.6,2,4.75,1018,25.5,103.42,18.215,31.35,245.5,420.6,240.8,412.6,-171.8,241.6,414.1,-172.4,-999,5
NH_70W_43N,43.02,-70.543,9/25/17,18:47,218.7,2,4.39,421.2,2,4.07,1017.8,25.4,106.84,18.115,31.327,219.7,422.9,215.5,414.8,-199.3,216.3,416.3,-200,-999,5
NH_70W_43N,43.02,-70.543,9/25/17,19:17,210.9,2,4.34,427.4,2,3.97,1017.5,25.2,109.59,17.63,31.288,211.8,429.1,207.8,421,-213.2,208.6,422.5,-213.9,-999,5
NH_70W_43N,43.02,-70.543,9/25/17,19:47,214,2,4.3,421.1,2,3.76,1017.6,25,111.55,17.713,31.251,215,422.7,210.9,414.8,-203.9,211.7,416.2,-204.6,-999,5
NH_70W_43N,43.02,-70.543,9/25/17,20:17,218.9,2,4.18,416.9,2,3.53,1017.5,24.8,112.87,17.977,31.3,219.9,418.4,215.6,410.4,-194.7,216.4,411.8,-195.4,-999,5
NH_70W_43N,43.02,-70.543,9/25/17,20:47,221.3,2,4.11,414.9,2,3.47,1017.3,24.6,113.79,17.998,31.313,222.2,416.3,217.9,408.3,-190.4,218.6,409.7,-191.1,-999,5
NH_70W_43N,43.02,-70.543,9/25/17,21:17,228.9,2,3.92,416.4,2,3.45,1017.4,24.4,114.03,17.963,31.323,229.8,417.8,225.4,409.7,-184.4,226.1,411.2,-185,8.229,2
NH_70W_43N,43.02,-70.543,9/25/17,21:47,233.3,2,3.73,410.7,2,3.38,1017.4,24.1,113.83,17.47,31.354,234.2,412.1,229.8,404.4,-174.6,230.6,405.8,-175.2,-999,5
NH_70W_43N,43.02,-70.543,9/26/17,0:17,232.7,2,3.82,397.9,2,3.72,1018.1,21.1,113.35,17.433,31.362,233.6,399.3,229.4,392.2,-162.8,230.2,393.6,-163.4,8.227,2
NH_70W_43N,43.02,-70.543,9/26/17,3:17,229.2,2,3.75,397.6,2,3.65,1017.8,19.7,113.05,17.632,31.345,230.1,399.1,225.8,391.7,-165.8,226.6,393.1,-166.4,8.228,2
